kategori,judul,deskripsi,penulis,tanggal
HEALTH AND HEALTHCARE SYSTEMS,How clean energy solutions at home and in health facilities can greatly benefit child health,"By focusing on clean energy solutions at home and in health facilities whilst cutting emissions, we can protect children's lives today and in the future.",Kitty van der Heijden,"June 21, 2024"
"EQUITY, DIVERSITY AND INCLUSION",Multinationals could help close parenthood wage gaps. This is how,The parenthood wage gap is contributing to global gender wage gaps. Research shows that multinationals are paying mothers too little and fathers too much.,"Khadija van der Straaten, Niccolò Pisani and Ans Kolk","June 21, 2024"
EMERGING TECHNOLOGIES,Why every investor should embrace Responsible AI,"Responsible AI isn't just the right thing to do. For board members, it is a business imperative, and for investors, it should be a pre-condition. Here's why.",Judy Wade and Chris Gillam,"June 21, 2024"
EDUCATION AND SKILLS,How to harness generative AI and other emerging technologies to close the opportunity gap,"With emerging technologies reshaping work, we must prioritize AI literacy, address the digital skills gap and train workforces for the jobs of the future.",Jeff Maggioncalda,"June 21, 2024"
JOBS AND THE FUTURE OF WORK,Talent trends in Asia: How to boost workforce productivity and well-being,Mercer’s Global Talent Trends 2024 Asia report reveals three ways companies can build a thriving workforce whilst boosting productivity and well-being.,Peta Latimer and Catherine Li Zhaoqi,"June 20, 2024"
CIVIL SOCIETY,"How sport can unify, inspire and empower refugees worldwide","Sports unify refugees by fostering social integration, education, and empowerment, while drawing global attention to their plight and promoting community cohesion.",Christa Odinga-Svanteson,"June 20, 2024"
FOOD AND WATER,Regenerative food systems can change the story of how agriculture impacts climate change,"Regenerative food systems can secure our future supply of food, protect the planet and ensure farmers are supported. This coalition is catalyzing action.",Tania Strauss and Jim Andrew,"June 20, 2024"
SUPPLY CHAINS AND TRANSPORTATION,Why transport and supply chain ecosystems need to be cyber secured,"Transport plays a key role in connecting global economies by facilitating global trade and economic activity, so we must ensure that it's cyber secure.","Margi Van Gogh, Filipe Beato and Luna Rohland","June 20, 2024"
EMERGING TECHNOLOGIES,"What is spatial computing, and how will mixed reality blur the lines between the physical and the digital realms?",Spatial computing merges the real and digital worlds. Futurist and entrepreneur Cathy Hackl discusses the implications of such a mixed reality.,Andrea Willige,"June 20, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Here’s how reducing malaria can add $16 billion to Africa’s GDP every year,"Meeting global targets to reduce malaria by 90% by 2030 will not only save thousands of lives, but also add $126 billion to Africa’s GDP. Here’s how.",Michelle Meineke,"June 20, 2024"
WELLBEING AND MENTAL HEALTH,How business can lead a global response to the mental health crisis,Corporate leaders now recognize they have a responsibility to support employee mental health and are working to identify common issues and share solutions.,Ruma Bhargawa and Poppy Jaman,"June 20, 2024"
N/A,5 ways to alleviate food insecurity in displaced populations,Over 100 million people worldwide have been displaced — those people are at risk of food insecurity. Here's how to tackle or prevent that food insecurity.,"Neema Kaseje, James Rogers and David Hertz","June 20, 2024"
ENERGY TRANSITION,4 ways to build social acceptance for critical minerals projects,The energy transition requires critical minerals for renewable energy infrastructure and electric vehicles – but such projects have to convince local stakeholders first.,Felipe Valencia-Dongo,"June 20, 2024"
ENERGY TRANSITION,The energy transition will need critical minerals and metals. Here's how to mine responsibly,Renewable energy will be less resource-intensive than fossil-fuelled energy – but will still require materials that should obtained without disrupting the environment and local people,"Benjamin Gibson, Joel Frijhoff and Katie Fedosenko","June 20, 2024"
GLOBAL COOPERATION,"Tariffs, timeframes and markets as 'tools': what the West gets wrong about China","Markus Herrmann helps make sense of China's political economy for Western clients. Drop the idealism you may be attaching to markets, he says, and start thinking very, very long-term.",John Letzing,"June 20, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Why AI has a greater healthcare impact in emerging markets,"Vital to overcoming healthcare disparities between low- and middle-income countries, AI is already providing scalable and affordable solutions in Africa.",Nick Passey,"June 20, 2024"
NATURE AND BIODIVERSITY,4 steps to jumpstart your mangrove investment journey,Investing in mangroves and mangrove-related projects offers businesses a strategic win that delivers impact in the global fight against climate change.,Whitney Johnston and Estelle Winkleman,"June 20, 2024"
N/A,World Refugee Day: How an innovative approach is helping build sustainable livelihoods,The world is faced with an ever-growing refugee crisis – made worse by climate change. Here's how the development sector can manage funding more effectively.,Dianne Calvi and Tjada D’Oyen McKenna,"June 20, 2024"
GEOGRAPHIES IN DEPTH,How Namibia is helping its most sustainable companies compete globally,"Namibia is pioneering a database of the top, most sustainable domestic companies to drive investment in the country and close the climate finance gap.",Rauha Nangula Uaandja,"June 20, 2024"
ARTS AND CULTURE,The artists and cultural leaders to look out for at the Annual Meeting of the New Champions 2024,Arts is always a big part of the Annual Meetings and artists have been challenged to create installations that meet the Next Frontiers for Growth theme.,Joseph Fowler,"June 20, 2024"
ENERGY TRANSITION,These 4 countries are leading the way in the energy transition,"The annual Energy Transition Index tracks progress and preparedness for an equitable, secure and sustainable energy future. While the pace of the transition has slowed, four countries are leading the way.",Sarah Moin,"June 19, 2024"
FOOD AND WATER,1 in 4 children live in severe food poverty – here's what needs to happen,UNICEF is urging swift action to lift more than 180 million children out of severe food poverty. Transforming food systems is key to protecting children.,Simon Torkington,"June 19, 2024"
HEALTH AND HEALTHCARE SYSTEMS,"CDC monitoring bird flu spread, and other top health stories",Other top health news this week: New WHO report on non-communicable diseases; Sudan facing “catastrophic” food shortages.,Shyam Bishen,"June 19, 2024"
WELLBEING AND MENTAL HEALTH,Youth mental health is an escalating crisis — this New York City scheme may offer a route out,"14% of ages 10-19 experience a mental health issue, and suicide is the fourth cause of death for 15-19-year-olds. This New York City scheme is helping.",Ashwin Vasan and Shyam Bishen,"June 19, 2024"
URBAN TRANSFORMATION,Cities drive global prosperity – but the way they do that is changing,"With urbanization and global prosperity interlinked, defining and analyzing the cities of the future has never been more pressing",Matthew Cooper and Marco Fengler,"June 19, 2024"
CLIMATE ACTION,Climate transition plans: CEOs on how to deliver more than just net-zero,The Alliance of CEO Climate Leaders ensures climate transition plans an obligatory requirement for member companies. Three members share their experiences.,Pim Valdre and Nicolas Salomon,"June 19, 2024"
CYBERSECURITY,FBI takes down army of ‘zombie’ computers. Here what to know,The FBI recently dismantled a network of 19 million computers infected with malware. But what is a botnet and what can we do about rising cybercrime?,David Elliott,"June 19, 2024"
"EQUITY, DIVERSITY AND INCLUSION",6 conditions that highlight the women’s health gap,Women are consistently underdiagnosed for certain conditions and women's health is under-researched. Here are six conditions that highlight the gender health gap.,Kate Whiting,"June 19, 2024"
CLIMATE ACTION,"Richer nations divided over climate crisis funding for poor countries, and other nature and climate stories you need to read this week",Nations cannot agree on climate funding for poor countries; Efforts to protect ozone layer a ‘huge success’; Tourist sites closed as heatwave grips Greece.,Michael Purton,"June 19, 2024"
EMERGING TECHNOLOGIES,Responsible AI: 6 steps businesses should take now,"Responsible AI: As artificial intelligence (AI) increases in importance, enterprises must build internal scaffolding to ensure trust and address risks.",Prasad Sankaran,"June 19, 2024"
ENERGY TRANSITION,5 actions needed to regain the energy transition momentum,"A new report by the World Economic Forum, Fostering Effective Energy Transition 2024, has a number of suggestions for turbo-charging the energy transition.",Muqsit Ashraf and Roberto Bocca,"June 19, 2024"
ENERGY TRANSITION,Why it's vital to take a people-centred approach to equitable energy transitions,"The World Economic Forum, Fostering Effective Energy Transition 2024 report highlights the need for analytical frameworks to operationalize energy equity.",Brian Motherway and Shana Mitsui,"June 19, 2024"
ENERGY TRANSITION,How developing countries are transforming their energy use for a more resilient energy transition,Small energy efficiency changes can add up to transform demand and help usher in the energy transition. India has already seen success with this approach.,Anish Shah,"June 19, 2024"
ENERGY TRANSITION,3 ways to harness the power of generative AI for the energy transition,"A new report by the World Economic Forum, Fostering Effective Energy Transition 2024, shows the importance of generative AI in energy equity and security.",Julie Sweet,"June 19, 2024"
GLOBAL COOPERATION,G7 Summit talking points: From Ukraine and Gaza to the impact of AI,The G7 Italy Summit focused on issues including Ukraine and Gaza and international cooperation on artificial intelligence. Here’s what you need to know.,David Elliott,"June 18, 2024"
FORUM INSTITUTIONAL,AMNC24: Who's coming and what to expect at our meeting in China,"Leaders are convening for the World Economic Forum's Annual Meeting of the New Champions (#AMNC24) in Dalian, China. Here’s what to expect.",Sheikh Tanjeb Islam,"June 18, 2024"
CLIMATE ACTION,Blue Map: Here's how emissions reporting data is supporting the global green transition,China is the world's largest manufacturing hub so its bid to be nature positive through initiatives like the Blue Map can lead the global green transition.,Ma Jun and Changhua Wu,"June 18, 2024"
CLIMATE ACTION,Lessons from Nepal: Coping with hotter and longer heatwaves,"Nepal is known for its mountains, but today the country's real climate story is extreme heat. Other countries can learn from how Nepal handles heatwaves.",Jagan Chapagain,"June 18, 2024"
NATURE AND BIODIVERSITY,How to spot a nature crisis – and why we should use natural capital to combat it,Nature crises must quickly move up the global agenda. Discover how robust natural capital accounting and valuation could help tackle this problem.,Chunquan Zhu and Shivin Kohli,"June 18, 2024"
URBAN TRANSFORMATION,How cities can achieve net zero by targeting building emissions from design to demolition,"A new multistakeholder taskforce aims to provide guidelines for cities aiming to decarbonize the built environment, based on a whole life cycle approach",Anu Devi and Ashiss Kumar Dash,"June 18, 2024"
FORUM INSTITUTIONAL,Annual Meeting of the New Champions 2024: What to know and how to follow,More than 50 sessions will be streamed to the public at the Annual Meeting for the New Champions 2024 (AMNC24). Here's what to know and how to follow on social.,Gayle Markovitz and Beatrice Di Caro,"June 18, 2024"
EMERGING TECHNOLOGIES,How to develop creative talent for a sustainable and AI-driven future,"By aligning today’s strategies with tomorrow’s AI and investing in tech-savvy creative talent, businesses can remain relevant in the next decade.",Chun Yin Mak,"June 18, 2024"
EMERGING TECHNOLOGIES,Why the human touch is needed to harness AI tools for communications,Generative AI can't replicate or replace human creativity and emotional intelligence. Here's how communications professionals can work with and harness AI.,Margot Edelman,"June 18, 2024"
TRADE AND INVESTMENT,How an affordable cross-border delivery service will unlock the promise of millions of SMEs in Southeast Asia,"Here's how an affordable, efficient and fast cross-border delivery service can unlock the promise of millions of smaller businesses in Southeast Asia.",Pete Chareonwongsak,"June 17, 2024"
SUPPLY CHAINS AND TRANSPORTATION,China has an electric vehicle advantage but can it maintain its edge?,Research shows there is growing consumer appetite for buying an EV based on price. Automakers in China have an opportunity to build on their price advantage.,Shiv Shivaraman,"June 17, 2024"
ENERGY TRANSITION,Azerbaijan announces green investment push ahead of COP29 - plus other top energy stories,Top energy stories: Azerbaijan announces $2 billion of green investment; Delay in US coal plant retirement with surge in electricity growth anticipated.,Roberto Bocca,"June 17, 2024"
JOBS AND THE FUTURE OF WORK,Pride Month: Nearly a third of LGBTQI+ workers have quit a job over feeling uncomfortable – here’s how to build more inclusive workplaces,"Without more inclusive workplaces, businesses risk losing talent. This means going beyond LGBTQI+ policies to establish authentic allyship year-round.",Sander van't Noordende,"June 17, 2024"
LEADERSHIP,4 ways governments can serve their constituents better and catalyse innovation,"Global trust in government is nearing historic lows, just when leadership is needed the most. Here's how governments can change that and spark innovation.","Andrew Pickersgill, Scott Blackburn and Jörg Schubert","June 17, 2024"
GLOBAL RISKS,How business leaders can mitigate against global risks,"In 2024, many countries will hold elections – with huge implications for trade, geopolitics and economics. Here's how leaders can mitigate against risks.",Svein Tyldum,"June 17, 2024"
SUSTAINABLE DEVELOPMENT,"To create a 'sustainomy' businesses must focus on the ecosystem, not just the market","In the transition to a 'sustainomy', the world must create a new mindset — one that prioritizes prosperity, quality of life and environmental health.",Arm Piyachart Isarabhakdee,"June 17, 2024"
